,energy_demand,solar_generation,wind_generation,total_renewable,temperature,energy_price,renewable_penetration,hour,day_of_week,month,is_weekend,is_business_hour,day_of_year,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2024-01-01 00:00:00,522.1950983894712,2.5561973662636435,122.57848984864448,125.13468721490813,19.165561867580813,49.69091850678572,23.963206012626785,0,0,1,0,0,1,0.0,1.0,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 01:00:00,543.8641010001539,13.22893814793828,98.68621856813066,111.91515671606894,16.448519229831103,51.865238351125406,20.577779726637495,1,0,1,0,0,1,0.25881904510252074,0.9659258262890683,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 02:00:00,536.4993778254478,1.119097862713019,72.78963662565508,73.9087344883681,16.46751063775973,51.68221954357224,13.77610814535084,2,0,1,0,0,1,0.49999999999999994,0.8660254037844387,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 03:00:00,510.9378330077753,7.968945719289032,77.52631584910178,85.49526156839082,16.66527900375927,54.200630898127976,16.73300664879318,3,0,1,0,0,1,0.7071067811865476,0.7071067811865476,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 04:00:00,565.2904659753432,0.0,54.82683654639152,54.82683654639152,11.703826812111675,58.70514912510929,9.698878690938855,4,0,1,0,0,1,0.8660254037844386,0.5000000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 05:00:00,540.9336009247188,1.2620915143501559,40.29069624358344,41.552787757933594,10.4612189605407,60.29063417415281,7.681679911711836,5,0,1,0,0,1,0.9659258262890683,0.25881904510252074,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 06:00:00,533.3879500923796,0.0,65.86545199214618,65.86545199214618,13.134406769866498,55.68959396227342,12.348507682023689,6,0,1,0,0,1,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 07:00:00,597.3631049653968,0.0,63.51910746965673,63.51910746965673,10.911448062129754,65.89893140837232,10.633249181557032,7,0,1,0,0,1,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 08:00:00,790.50042578303,0.0,51.61687596323909,51.61687596323909,8.233184789688442,83.41664580589344,6.529645561178541,8,0,1,0,1,1,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 09:00:00,860.7583896084411,9.535194675308583,82.35371702710795,91.88891170241654,10.461698690995867,86.7101687270333,10.67534314062472,9,0,1,0,1,1,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 10:00:00,873.8716688746573,7.600126629357165,97.76772944790649,105.36785607726365,9.04914575322679,88.30762272210575,12.057589212493049,10,0,1,0,1,1,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 11:00:00,809.9021811908264,1.9440377764351975,106.34251891668022,108.28655669311541,9.998033367298548,86.48238299656067,13.370325356316249,11,0,1,0,1,1,0.258819045102521,-0.9659258262890682,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 12:00:00,805.1350956900669,0.0,130.82819045897872,130.82819045897872,12.656058104690416,80.09603131418449,16.249222168963858,12,0,1,0,1,1,1.2246467991473532e-16,-1.0,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 13:00:00,853.1455645230354,25.921597258973026,106.01809887654225,131.93969613551528,9.792658801627628,81.85476851970618,15.465086102777578,13,0,1,0,1,1,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 14:00:00,818.4273446685634,59.77875228516238,44.16565523783504,103.94440752299742,11.722297896532282,81.45788768640246,12.700505206737875,14,0,1,0,1,1,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 15:00:00,726.0882478037072,72.66945215629475,163.01414857185205,235.6836007281468,15.600472773691529,57.46588632658273,32.459360338230155,15,0,1,0,1,1,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 16:00:00,704.5593298147927,126.4916215245591,156.35245736365263,282.8440788882117,16.1464713208895,49.32153798209902,40.14482058772295,16,0,1,0,1,1,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 17:00:00,631.3821562291718,132.71197217946946,136.08349371371315,268.7954658931826,20.04326891386818,44.600416672399945,42.57254710816033,17,0,1,0,1,1,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 18:00:00,584.5363251372897,112.91486297703781,139.30255205764448,252.2174150346823,18.552237833222556,40.91544411912492,43.14828765781906,18,0,1,0,1,1,-1.0,-1.8369701987210297e-16,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 19:00:00,545.4202668245098,193.4122406462697,126.77755140257831,320.189792048848,18.143081116622174,41.96010515138766,58.705151151244216,19,0,1,0,0,1,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 20:00:00,519.1654499278325,114.9033954394803,145.17709109447824,260.08048653395855,24.103431099401455,36.78641542639304,50.09587725263912,20,0,1,0,0,1,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 21:00:00,548.8296947702046,86.5181251738935,122.66848430470898,209.18660947860246,20.516135918319687,47.96394021330035,38.115031214954406,21,0,1,0,0,1,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 22:00:00,511.6675043130917,76.17456871676697,106.05078561021824,182.2253543269852,20.50334239364083,45.20035414946714,35.614017460737685,22,0,1,0,0,1,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-01 23:00:00,579.9042680845113,50.26866897345763,120.89279544956861,171.16146442302625,16.56527787625072,50.93578555425151,29.515468990837356,23,0,1,0,0,1,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.49999999999999994,0.8660254037844387
2024-01-02 00:00:00,537.8809302967156,5.542860673899494,149.3584583063975,154.901318980297,17.255450667177094,48.29891696603707,28.798440371337858,0,1,1,0,0,2,0.0,1.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 01:00:00,539.9755148955041,4.6605705504704416,162.81634641244645,167.4769169629169,17.118975566262314,45.578015864415065,31.015650218015345,1,1,1,0,0,2,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2024-01-02 02:00:00,590.8428048824768,0.0,124.10313255016521,124.10313255016521,13.042228961382852,57.48422046727445,21.0044247851762,2,1,1,0,0,2,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
